126	126
9	7	3
13	8	3
20	19	3
20	17	2
11	8	1
20	5	3
17	18	5
5	19	3
13	12	4
8	15	1
5	5	2
5	5	2
17	11	3
18	5	1
12	19	5
20	12	3
16	12	4
12	19	4
14	5	5
18	8	4
10	14	3
8	15	1
18	11	2
14	14	2
20	17	5
6	20	1
12	17	1
18	10	3
16	16	4
7	19	1
8	10	2
17	16	5
20	5	5
20	6	1
14	17	2
10	10	5
12	5	1
11	12	4
17	16	5
16	19	4
13	5	1
17	9	3
11	18	3
6	20	4
16	11	2
18	20	1
16	18	5
16	5	4
15	19	5
5	12	5
10	10	1
7	13	2
6	7	3
7	5	3
19	5	3
13	12	4
13	8	3
10	16	5
14	7	2
10	10	2
13	10	1
13	14	2
19	15	1
20	20	2
8	5	4
14	17	4
15	18	1
11	13	3
8	13	3
11	18	4
5	12	3
5	17	1
9	6	5
10	19	4
18	12	3
19	12	5
5	17	2
15	18	1
6	14	1
9	11	4
6	14	5
7	7	4
14	14	5
10	18	2
13	9	1
5	6	2
11	19	5
10	6	5
17	11	1
16	8	3
11	18	4
11	20	5
8	17	3
14	20	3
5	15	2
17	14	5
5	10	2
11	15	4
9	15	2
18	11	5
