100	100
17	18
6	13
20	17
14	20
16	11
9	14
9	8
13	9
14	8
7	15
20	8
16	18
15	11
20	19
13	6
5	7
17	5
20	15
12	15
7	11
12	12
9	19
7	7
15	20
8	14
14	8
15	11
14	19
7	17
15	12
14	10
11	10
6	13
20	7
7	9
9	6
7	17
13	12
11	18
13	19
20	16
7	15
8	20
15	11
12	5
13	8
12	16
10	15
18	6
8	9
12	6
7	5
8	11
8	17
7	16
8	6
5	11
10	8
20	11
6	5
18	8
13	7
12	7
14	16
18	10
6	19
6	8
17	11
13	16
20	10
11	6
10	10
15	13
8	19
10	5
20	18
14	16
17	13
9	5
19	7
15	6
13	9
12	20
16	14
16	9
14	17
18	7
5	11
15	10
12	12
19	17
18	6
17	18
6	10
19	7
13	10
19	20
5	6
20	15
14	19
