100	100
17	14
17	6
16	15
17	8
17	13
16	7
15	5
16	15
16	12
14	10
15	5
16	11
14	11
14	8
13	8
15	12
15	7
14	13
16	7
13	13
14	8
15	9
13	5
14	12
15	11
13	7
13	7
13	5
13	10
13	8
13	12
15	13
13	5
12	8
13	13
13	12
10	7
13	8
8	5
13	9
10	10
13	6
13	7
15	9
15	6
10	5
10	9
12	7
13	5
13	8
6	6
13	5
8	6
5	5
10	9
11	7
6	5
6	5
12	8
10	8
8	8
11	9
10	7
11	8
6	5
10	8
10	6
9	7
10	8
13	6
6	5
13	6
12	6
7	6
10	10
13	5
13	5
6	5
7	5
12	10
10	9
7	7
8	8
13	9
12	12
9	9
10	8
13	9
15	12
14	6
11	9
9	7
9	8
10	9
7	5
10	5
11	8
12	10
13	9
11	8
