126	126
9	7
13	8
20	19
20	17
11	8
20	5
17	18
5	19
13	12
8	15
5	5
5	5
17	11
18	5
12	19
20	12
16	12
12	19
14	5
18	8
10	14
8	15
18	11
14	14
20	17
6	20
12	17
18	10
16	16
7	19
8	10
17	16
20	5
20	6
14	17
10	10
12	5
11	12
17	16
16	19
13	5
17	9
11	18
6	20
16	11
18	20
16	18
16	5
15	19
5	12
10	10
7	13
6	7
7	5
19	5
13	12
13	8
10	16
14	7
10	10
13	10
13	14
19	15
20	20
8	5
14	17
15	18
11	13
8	13
11	18
5	12
5	17
9	6
10	19
18	12
19	12
5	17
15	18
6	14
9	11
6	14
7	7
14	14
10	18
13	9
5	6
11	19
10	6
17	11
16	8
11	18
11	20
8	17
14	20
5	15
17	14
5	10
11	15
9	15
18	11
